Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Candidate_D,Percentage_D,Raw_Vote_G,Total,Voter_Turnout
Herrin 11,Bost,68.54%,281,Kelly,29.02%,119,Auxier,2.44%,10,410,66.83%
Herrin 12,Bost,59.56%,215,Kelly,38.23%,138,Auxier,2.22%,8,361,53.53%
Herrin 13,Bost,56.59%,116,Kelly,35.12%,72,Auxier,8.29%,17,205,42.51%
Herrin 14,Bost,57.22%,103,Kelly,39.44%,71,Auxier,3.33%,6,180,46.41%
Herrin 15,Bost,57.82%,233,Kelly,37.97%,153,Auxier,4.22%,17,403,58.03%
Herrin 16,Bost,65.91%,203,Kelly,32.14%,99,Auxier,1.95%,6,308,65.68%
West Marion 1,Bost,61.39%,159,Kelly,33.59%,87,Auxier,5.02%,13,259,52.92%
West Marion 2,Bost,49.78%,112,Kelly,49.33%,111,Auxier,0.89%,2,225,56.54%
West Marion 3,Bost,61.11%,242,Kelly,36.87%,146,Auxier,2.02%,8,396,63.41%
West Marion 4,Bost,59.03%,415,Kelly,37.84%,266,Auxier,3.13%,22,703,65.96%
West Marion 5,Bost,57.84%,177,Kelly,39.87%,122,Auxier,2.29%,7,306,50.40%
West Marion 6,Bost,61.90%,208,Kelly,34.23%,115,Auxier,3.87%,13,336,48.18%
West Marion 7,Bost,60.69%,281,Kelly,37.37%,173,Auxier,1.94%,9,463,51.78%
West Marion 8,Bost,66.18%,366,Kelly,31.46%,174,Auxier,2.35%,13,553,63.65%
West Marion 9,Bost,58.80%,177,Kelly,37.54%,113,Auxier,3.65%,11,301,43.24%
West Marion 10,Bost,69.23%,306,Kelly,29.41%,130,Auxier,1.36%,6,442,71.16%
West Marion 11,Bost,68.84%,391,Kelly,28.87%,164,Auxier,2.29%,13,568,60.46%
Southern 1,Bost,72.31%,478,Kelly,25.11%,166,Auxier,2.57%,17,661,67.24%
Southern 2,Bost,70.54%,443,Kelly,27.07%,170,Auxier,2.39%,15,628,73.39%
Lake Creek 1,Bost,61.97%,308,Kelly,34.41%,171,Auxier,3.62%,18,497,59.76%
Lake Creek 2,Bost,73.45%,249,Kelly,22.12%,75,Auxier,4.42%,15,339,56.51%
Lake Creek 3,Bost,66.85%,238,Kelly,32.02%,114,Auxier,1.12%,4,356,53.19%
Lake Creek 4,Bost,69.77%,337,Kelly,27.74%,134,Auxier,2.48%,12,483,63.99%
East Marion 1,Bost,65.20%,178,Kelly,31.14%,85,Auxier,3.66%,10,273,44.14%
East Marion 2,Bost,58.33%,133,Kelly,39.47%,90,Auxier,2.19%,5,228,56.62%
East Marion 3,Bost,60.76%,257,Kelly,36.41%,154,Auxier,2.84%,12,423,55.57%
East Marion 4,Bost,77.09%,451,Kelly,20.51%,120,Auxier,2.39%,14,585,66.07%
East Marion 5,Bost,70.54%,486,Kelly,27.43%,189,Auxier,2.03%,14,689,67.47%
East Marion 6,Bost,61.26%,204,Kelly,35.74%,119,Auxier,3.00%,10,333,51.43%
East Marion 7,Bost,65.25%,323,Kelly,31.72%,157,Auxier,3.03%,15,495,64.40%
East Marion 8,Bost,70.90%,497,Kelly,27.67%,194,Auxier,1.43%,10,701,70.16%
East Marion 9,Bost,67.51%,241,Kelly,29.69%,106,Auxier,2.80%,10,357,68.61%
East Marion 10,Bost,73.93%,431,Kelly,25.39%,148,Auxier,0.69%,4,583,74.62%
Creal Springs 1,Bost,70.54%,261,Kelly,27.57%,102,Auxier,1.89%,7,370,58.09%
Creal Springs 2,Bost,72.14%,567,Kelly,26.08%,205,Auxier,1.78%,14,786,67.75%
Corinth 1,Bost,79.54%,311,Kelly,17.90%,70,Auxier,2.56%,10,391,61.80%
Crab Orchard 1,Bost,75.72%,315,Kelly,20.91%,87,Auxier,3.37%,14,416,63.06%
Crab Orchard 2,Bost,77.13%,226,Kelly,19.11%,56,Auxier,3.75%,11,293,72.48%
Stonefort 1,Bost,78.05%,320,Kelly,20.24%,83,Auxier,1.71%,7,410,68.94%
Stonefort 2,Bost,72.92%,105,Kelly,26.39%,38,Auxier,0.69%,1,144,57.63%
