Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total_Vote,Voter_Turnout
SC023,Hultgren,41.12%,125,Underwood,58.88%,179,304,57.20%
SC025,Hultgren,41.47%,260,Underwood,58.53%,367,627,56.53%
SC034,Hultgren,40.32%,325,Underwood,59.68%,481,806,61.22%
SG001,Hultgren,51.42%,218,Underwood,48.58%,206,424,53.66%
SG002,Hultgren,42.46%,729,Underwood,57.54%,988,1717,53.08%
SG003,Hultgren,56.26%,364,Underwood,43.74%,283,647,64.08%
SG004,Hultgren,59.85%,553,Underwood,40.15%,371,924,68.50%
SG005,Hultgren,48.08%,713,Underwood,51.92%,770,1483,58.69%
SG006,Hultgren,60.27%,983,Underwood,39.73%,648,1631,64.94%
VI001,Hultgren,55.97%,164,Underwood,44.03%,129,293,52.75%
VI002,Hultgren,62.76%,332,Underwood,37.24%,197,529,62.27%
WD1P09,Hultgren,41.16%,391,Underwood,58.84%,559,950,61.19%
WD5P11,Hultgren,43.52%,262,Underwood,56.48%,340,602,68.91%
WD5P12,Hultgren,54.34%,319,Underwood,45.66%,268,587,63.90%
WD5P13,Hultgren,45.12%,282,Underwood,54.88%,343,625,64.20%
WD5P14,Hultgren,36.35%,185,Underwood,63.65%,324,509,63.09%
